rank,box_office_year,imdb_id,title,release_year,distributor,genre,domestic_box_office_gross,tickets_sold
1,1980,tt0080684,Star Wars Ep. V: The Empire Strikes Back,1980,20th Century Fox,Adventure,181353855,67417790.0
2,1980,tt0081562,Stir Crazy,1980,Columbia,Black Comedy,101300000,37657992.0
3,1980,tt0079417,Kramer vs. Kramer,1979,,Drama,98982763,36796566.0
4,1980,tt0080339,Airplane!,1980,Paramount Pictures,Comedy,83453539,31023620.0
5,1980,tt0080377,Any Which Way You Can,1980,Warner Bros.,Comedy,70687344,26277823.0
6,1980,tt0081375,Private Benjamin,1980,Warner Bros.,Comedy,69847348,25965556.0
7,1980,tt0080549,Coal Miner's Daughter,1980,Universal,Drama,67182787,24975013.0
8,1980,tt0081529,Smokey and the Bandit II,1980,Universal,Comedy,66132626,24584619.0
9,1980,tt0080455,The Blues Brothers,1980,Universal,Comedy,57229890,21275052.0
10,1980,tt0081283,Ordinary People,1980,Paramount Pictures,Drama,52302978,19443486.0
11,1980,tt0081353,Popeye,1980,Paramount Pictures,Musical,49823037,18521575.0
12,1980,tt0080453,The Blue Lagoon,1980,Columbia,Drama,47923795,17815537.0
13,1980,tt0081696,Urban Cowboy,1980,Paramount Pictures,Western,46918287,17441742.0
14,1980,tt0081505,The Shining,1980,Warner Bros.,Horror,44017374,16363336.0
15,1980,tt0080520,Cheech & Chong’s Next Movie,1980,Universal,Comedy,41675194,15492637.0
16,1980,tt0080487,Caddyshack,1980,Warner Bros.,Comedy,39846344,14812767.0
17,1980,tt0080761,Friday the 13th,1980,Paramount Pictures,Horror,39754601,14778662.0
18,1980,tt0080474,Brubaker,1980,20th Century Fox,Drama,37121708,13799891.0
19,1980,tt0081060,Little Darlings,1980,Paramount Pictures,Comedy,34326249,12760687.0
20,1980,tt0080661,Dressed to Kill,1980,Filmways Pictures,Thriller/Suspense,31899000,11858364.0
21,1980,tt0080745,Flash Gordon,1980,Universal,Action,27107960,10077308.0
22,1980,tt0080678,The Elephant Man,1980,Paramount Pictures,Drama,26010864,9669466.0
23,1980,tt0080472,Bronco Billy,1980,Warner Bros.,Comedy,24265659,9020691.0
24,1980,tt0080491,Caligula,1980,Analysis,Drama,23276985,8653154.0
25,1980,tt0081480,Seems Like Old Times,1980,Columbia,Romantic Comedy,23200000,8624535.0
26,1980,tt0081777,Xanadu,1980,Universal,Musical,22762571,8461922.0
27,1980,tt0080365,American Gigolo,1980,Paramount Pictures,Thriller/Suspense,22743674,8454897.0
28,1980,tt0081207,My Bodyguard,1980,20th Century Fox,Comedy,22482952,8357974.0
29,1980,tt0080919,In Search of Historic Jesus,1980,Sunn Classics Pic…,Documentary,22000000,8178438.0
30,1980,tt0080716,Fame,1980,MGM,Musical,21202829,7882092.0
31,1980,tt0080360,Altered States,1980,Warner Bros.,Horror,19853892,7380628.0
32,1980,tt0080569,Cruising,1980,United Artists,Thriller/Suspense,19784223,7354729.0
33,1980,tt0081259,The Octagon,1980,American Cinema R…,Action,19000000,7063197.0
34,1980,tt0082501,Hardly Working,1980,20th Century Fox,Comedy,18000000,6691449.0
35,1980,tt0081760,Windwalker,1980,Pacific Internati…,Western,18000000,6691449.0
36,1980,tt0080888,Honeysuckle Rose,1980,Warner Bros.,Drama,17815212,6622755.0
37,1980,tt0080861,Herbie Goes Bananas,1980,,Comedy,17000000,6319702.0
38,1980,tt0081439,Rough Cut,1980,Paramount Pictures,Romantic Comedy,16656125,6191868.0
39,1980,tt0080907,The Hunter,1980,Paramount Pictures,Action,16647800,6188773.0
40,1980,tt0080736,The Final Countdown,1980,United Artists,Action,16647800,6188773.0
41,1980,tt0080515,A Change of Seasons,1980,20th Century Fox,Drama,16400000,6096654.0
42,1980,tt0080863,Hero At Large,1980,MGM,Comedy,15934737,5923694.0
43,1980,tt0080934,The Island,1980,Universal,Adventure,15716828,5842686.0
44,1980,tt0080739,First Family,1980,Warner Bros.,Comedy,15198912,5650153.0
45,1980,tt0081071,The Long Riders,1980,United Artists,Western,15198912,5650153.0
46,1980,tt0081383,Prom Night,1980,Avco Embassy,Horror,14796236,5500459.0
47,1980,tt0081249,The Nude Bomb,1980,Universal,Comedy,14662035,5450570.0
48,1980,tt0081268,"Oh, God! Book II",1980,Warner Bros.,Comedy,14504277,5391924.0
49,1980,tt0081751,Wholly Moses!,1980,Sony Pictures,Comedy,14155617,5262311.0
50,1980,tt0081157,Middle Age Crazy,1980,20th Century Fox,Comedy,13000000,4832713.0
51,1980,tt0080889,Hopscotch,1980,Avco Embassy,Comedy,13000000,4832713.0
52,1980,tt0080556,The Competition,1980,Columbia,Drama,13000000,4832713.0
53,1980,tt0081032,The Last Married Couple in America,1980,Universal,Comedy,12835544,4771577.0
54,1980,tt0080516,The Changeling,1980,Associated Film D…,Horror,12000000,4460966.0
55,1980,tt0081698,Used Cars,1980,Columbia,Comedy,11715321,4355137.0
56,1980,tt0080836,Hangar 18,1980,Sunn Classics Pic…,Thriller/Suspense,11000000,4089219.0
57,1980,tt0081163,The Mirror Crack'd,1980,Associated Film D…,Thriller/Suspense,11000000,4089219.0
58,1980,tt0080936,It's My Turn,1980,Columbia,Romantic Comedy,11000000,4089219.0
59,1980,tt0081031,The Last Flight of Noah's Ark,1980,Walt Disney,Adventure,11000000,4089219.0
60,1980,tt0080731,The Fiendish Plot of Dr. Fu Manchu,1980,Orion Pictures,Comedy,10697276,3976682.0
61,1980,tt0081554,Stardust Memories,1980,United Artists,Comedy,10389003,3862082.0
62,1980,tt0080881,The Hollywood Knights,1980,Columbia,Comedy,10000000,3717472.0
63,1980,tt0081695,Up the Academy,1980,Warner Bros.,Comedy,10000000,3717472.0
64,1980,tt0081114,Maniac,1980,Analysis,Horror,10000000,3717472.0
65,1980,tt0081485,Serial,1980,Paramount Pictures,Comedy,9870727,3669415.0
66,1980,tt0081534,Somewhere in Time,1980,Universal,Drama,9709597,3609515.0
67,1980,tt0079285,Saturn 3,1980,,Thriller/Suspense,9000000,3345724.0
68,1980,tt0080031,Tom Horn,1980,,Western,9000000,3345724.0
69,1980,tt0081656,Tribute,1980,20th Century Fox,Comedy,9000000,3345724.0
70,1980,tt0080754,The Formula,1980,MGM,Thriller/Suspense,8894289,3306427.0
71,1980,tt0079501,Mad Max,1980,Filmways Pictures,Action,8773197,3261411.0
72,1980,tt0080436,The Big Brawl,1980,Warner Bros.,Action,8527743,3170164.0
73,1980,tt0080402,The Awakening,1980,Warner Bros.,Horror,8415112,3128294.0
74,1980,tt0081617,Terror Train,1980,,Horror,8000000,2973977.0
75,1980,tt0080895,How to Beat the High Co$t of Living,1980,Filmways Pictures,Comedy,7500000,2788104.0
76,1980,tt0080756,Foxes,1980,United Artists,Drama,7470348,2777081.0
77,1980,tt0080437,The Big Red One,1980,United Artists,Drama,7206220,2678892.0
78,1980,tt0081568,The Stunt Man,1980,20th Century Fox,,7063886,2625979.0
79,1980,tt0080724,Fatso,1980,20th Century Fox,,7000000,2602230.0
80,1980,tt0081400,Raise the Titanic,1980,Associated Film D…,Adventure,7000000,2602230.0
81,1980,tt0080319,9 to 5,1980,20th Century Fox,Comedy,6847625,2545585.0
82,1980,tt0081748,Where the Buffalo Roam,1980,Universal,Comedy,6659377,2475604.0
83,1980,tt0080808,The Gong Show Movie,1980,Universal,Comedy,6621520,2461531.0
84,1980,tt0081184,Motel Hell,1980,United Artists,Horror,6342668,2357869.0
85,1980,tt0081063,Little Miss Marker,1980,Universal,Comedy,6321392,2349959.0
86,1980,tt0081269,Oh Heavenly Dog,1980,20th Century Fox,Comedy,6216067,2310805.0
87,1980,tt0081187,The Mountain Men,1980,Columbia,,6000000,2230483.0
88,1980,tt0081518,Simon,1980,,,6000000,2230483.0
89,1980,tt0080634,Divine Madness!,1980,Warner Bros.,Concert/Perfor…,5318098,1976988.0
90,1980,tt0080917,In God We Tru$t,1980,Universal,Comedy,5215015,1938667.0
91,1980,tt0080707,The Exterminator,1980,Avco Embassy,,5000000,1858736.0
92,1980,tt0080850,He Knows You're Alone,1980,MGM,Horror,4875436,1812429.0
93,1980,tt0080550,Coast to Coast,1980,Paramount Pictures,,4495445,1671169.0
94,1980,tt0081758,Willie and Phil,1980,20th Century Fox,,4400000,1635687.0
95,1980,tt0081150,Melvin and Howard,1980,Universal,Comedy,4309490,1602040.0
96,1980,tt0081433,Roadie,1980,United Artists,Comedy,4226370,1571141.0
97,1980,tt0080627,Die Laughing,1980,,,4000000,1486988.0
98,1980,tt0080979,Kagemusha,1980,20th Century Fox,Drama,4000000,1486988.0
99,1980,tt0081414,Resurrection,1980,Universal,Drama,3910019,1453538.0
100,1980,tt0080868,Hide in Plain Sight,1980,MGM,Drama,3806930,1415215.0
1,1981,tt0082971,Raiders of the Lost Ark,1981,Paramount Pictures,Adventure,168425367,60584664.0
2,1981,tt0081573,Superman II,1981,Warner Bros.,Adventure,108185706,38915721.0
3,1981,tt0080319,9 to 5,1980,20th Century Fox,Comedy,96442875,34691681.0
4,1981,tt0083131,Stripes,1981,Columbia,Comedy,85300000,30683453.0
5,1981,tt0082031,Arthur,1981,Warner Bros.,Romantic Comedy,75312238,27090733.0
6,1981,tt0082136,The Cannonball Run,1981,20th Century Fox,Action,57498710,20682989.0
7,1981,tt0082398,For Your Eyes Only,1981,United Artists,Action,54800000,19712230.0
8,1981,tt0082406,The Fox and the Hound,1981,Walt Disney,Adventure,43899231,15791090.0
9,1981,tt0082405,The Four Seasons,1981,Universal,Comedy,42488161,15283511.0
10,1981,tt0082163,Cheech & Chong's Nice Dreams,1981,Columbia,Comedy,37000000,13309352.0
11,1981,tt0083170,"Tarzan, The Ape Man",1981,MGM,Adventure,36565000,13152877.0
12,1981,tt0082348,Excalibur,1981,Warner Bros.,Adventure,34200000,12302158.0
13,1981,tt0081633,Time Bandits,1981,Avco Embassy,Adventure,33596404,12085037.0
14,1981,tt0082329,Endless Love,1981,Universal,Drama,33000000,11870503.0
15,1981,tt0082010,An American Werewolf in London,1981,Universal,Horror,31973249,11501168.0
16,1981,tt0082517,History of the World: Part I,1981,20th Century Fox,Comedy,31672000,11392805.0
17,1981,tt0082121,Bustin' Loose,1981,Universal,Comedy,31261000,11244964.0
18,1981,tt0082474,The Great Muppet Caper,1981,Universal,Comedy,31206251,11225270.0
19,1981,tt0082186,Clash of the Titans,1981,MGM,Adventure,30000000,10791366.0
20,1981,tt0082402,"Fort Apache, The Bronx",1981,20th Century Fox,Drama,29200000,10503597.0
21,1981,tt0080948,The Jazz Singer,1981,Universal,Drama,27118000,9754676.0
22,1981,tt0082853,Only When I Laugh,1981,Columbia,Romantic Comedy,25782304,9274210.0
23,1981,tt0082495,Halloween II,1981,Universal,Horror,25533818,9184826.0
24,1981,tt0082340,Escape from New York,1981,Avco Embassy,Action,25244700,9080827.0
25,1981,tt0082089,Body Heat,1981,Warner Bros.,Thriller/Suspense,24058000,8653956.0
26,1981,tt0082467,Graduation Day,1981,IFI Scope,Horror,23894000,8594964.0
27,1981,tt0082801,Neighbors,1981,Columbia,Black Comedy,22912993,8242083.0
28,1981,tt0082416,The French Lieutenant's Woman,1981,United Artists,Drama,22600000,8129496.0
29,1981,tt0082418,Friday the 13th Part 2,1981,Paramount Pictures,Horror,21722776,7813948.0
30,1981,tt0081398,Raging Bull,1980,United Artists,Drama,21471950,7723723.0
31,1981,tt0082979,Reds,1981,Paramount Pictures,Drama,20608917,7413279.0
32,1981,tt0082377,The Final Conflict,1981,20th Century Fox,Horror,20471000,7363669.0
33,1981,tt0082558,The Incredible Shrinking Woman,1981,Universal,Comedy,20259000,7287410.0
34,1981,tt0082869,Outland,1981,Warner Bros.,Action,20000000,7194244.0
35,1981,tt0082509,Heavy Metal,1981,Columbia,Adventure,19571091,7039960.0
36,1981,tt0080684,Star Wars Ep. V: The Empire Strikes Back,1981,20th Century Fox,Adventure,19523734,7022925.0
37,1981,tt0082766,Mommie Dearest,1981,Paramount Pictures,Drama,19032000,6846043.0
38,1981,tt0081974,Absence of Malice,1981,Columbia,Thriller/Suspense,19005292,6836435.0
39,1981,tt0083064,Sharky's Machine,1981,Warner Bros.,Thriller/Suspense,18938352,6812356.0
40,1981,tt0082886,Paternity,1981,Paramount Pictures,Romantic Comedy,18838000,6776258.0
41,1981,tt0083254,Under the Rainbow,1981,Warner Bros.,Comedy,18826490,6772118.0
42,1981,tt0080009,Tess,1980,,Drama,18203512,6548025.0
43,1981,tt0081376,The Private Eyes,1981,New World,Comedy,18000000,6474820.0
44,1981,tt0082533,The Howling,1981,Avco Embassy,Horror,17985000,6469424.0
45,1981,tt0082351,Eye of the Needle,1981,United Artists,Thriller/Suspense,17583000,6324820.0
46,1981,tt0083163,Take This Job and Shove It,1981,Avco Embassy,Comedy,17569000,6319784.0
47,1981,tt0082763,Modern Problems,1981,20th Century Fox,Comedy,16199268,5827074.0
48,1981,tt0082263,The Devil and Max Devlin,1981,Walt Disney,Comedy,16000000,5755395.0
49,1981,tt0082146,Caveman,1981,United Artists,Comedy,15965000,5742805.0
50,1981,tt0082200,Continental Divide,1981,Universal,Romantic Comedy,15578000,5603597.0
51,1981,tt0083015,S.O.B.,1981,Paramount Pictures,Black Comedy,14867086,5347872.0
52,1981,tt0083169,Taps,1981,20th Century Fox,Drama,14864282,5346864.0
53,1981,tt0082817,Nighthawks,1981,Universal,Action,14600000,5251798.0
54,1981,tt0081455,Scanners,1981,Avco Embassy,Horror,14200000,5107913.0
55,1981,tt0082816,The Night the Lights Went Out in Georgia,1981,Avco Embassy,Drama,14000000,5035971.0
56,1981,tt0082085,Blow Out,1981,Filmways Pictures,Thriller/Suspense,13747234,4945048.0
57,1981,tt0082648,The Legend of the Lone Ranger,1981,Universal,Western,13400000,4820143.0
58,1981,tt0082449,Ghost Story,1981,Universal,Horror,13307846,4786994.0
59,1981,tt0082992,Rich and Famous,1981,MGM,Drama,13000000,4676258.0
60,1981,tt0082849,On the Right Track,1981,20th Century Fox,Comedy,13000000,4676258.0
61,1981,tt0082948,Private Lessons,1981,Jensen Farley Pic…,Comedy,12900000,4640287.0
62,1981,tt0083232,True Confessions,1981,United Artists,Drama,12200000,4388489.0
63,1981,tt0082934,The Postman Always Rings Twice,1981,Paramount Pictures,Drama,12200000,4388489.0
64,1981,tt0082382,First Monday in October,1981,Paramount Pictures,Comedy,12000000,4316546.0
65,1981,tt0082042,Back Roads,1981,Warner Bros.,Romantic Comedy,11809387,4247980.0
66,1981,tt0083336,Wolfen,1981,Warner Bros.,Horror,11000000,3956834.0
67,1981,tt0082969,Raggedy Man,1981,Universal,Drama,11000000,3956834.0
68,1981,tt0083284,Victory,1981,Paramount Pictures,Action,10853000,3903956.0
69,1981,tt0082498,Happy Birthday To Me,1981,Columbia,Horror,10609514,3816371.0
70,1981,tt0080388,Atlantic City,1981,Paramount Pictures,Drama,10000000,3597122.0
71,1981,tt0083366,"Zorro, The Gay Blade",1981,20th Century Fox,Comedy,10000000,3597122.0
72,1981,tt0083099,So Fine,1981,Warner Bros.,Comedy,10000000,3597122.0
73,1981,tt0082945,Prince of the City,1981,Warner Bros.,Drama,9000000,3237410.0
74,1981,tt0082138,Carbon Copy,1981,Avco Embassy,Comedy,8400000,3021582.0
75,1981,tt0082970,Ragtime,1981,Paramount Pictures,Drama,8382501,3015288.0
76,1981,tt0082399,Force: Five,1981,American Cinema R…,Action,8000000,2877697.0
77,1981,tt0082001,All Night Long,1981,Universal,Romantic Comedy,7800000,2805755.0
78,1981,tt0083006,Rollover,1981,Warner Bros.,Thriller/Suspense,7747128,2786736.0
79,1981,tt0082350,An Eye for an Eye,1981,Avco Embassy,Action,7496681,2696647.0
80,1981,tt0082427,The Funhouse,1981,Universal,Horror,7000000,2517985.0
81,1981,tt0082193,Comin' at Ya!,1981,Filmways Pictures,,6704127,2411556.0
82,1981,tt0082353,Eyewitness,1981,20th Century Fox,,6400000,2302158.0
83,1981,tt0082009,American Pop,1981,Columbia,Musical,6000000,2158273.0
84,1981,tt0082288,Dragonslayer,1981,Paramount Pictures,Action,6000000,2158273.0
85,1981,tt0082507,Heartbeeps,1981,Universal,Comedy,6000000,2158273.0
86,1981,tt0082432,Gallipoli,1981,Paramount Pictures,Drama,5732587,2062081.0
87,1981,tt0082111,Buddy Buddy,1981,United Artists,Comedy,5299037,1906128.0
88,1981,tt0082894,Pennies from Heaven,1981,MGM,Musical,5227259,1880308.0
89,1981,tt0082247,Death Hunt,1981,20th Century Fox,,5000000,1798561.0
90,1981,tt0080771,Galaxina,1980,Crown,,4865000,1750000.0
91,1981,tt0081964,All the Marbles,1981,MGM,,4300000,1546762.0
92,1981,tt0083190,Thief,1981,United Artists,Action,4300000,1546762.0
93,1981,tt0083326,Whose Life is it Anyway?,1981,MGM,Drama,4051988,1457549.0
94,1981,tt0082677,Looker,1981,Warner Bros.,Thriller/Suspense,3281232,1180299.0
95,1981,tt0080610,The Last Metro,1981,United Artists,Drama,3000000,1079136.0
96,1981,tt0083111,Southern Comfort,1981,20th Century Fox,Thriller/Suspense,2939174,1057256.0
97,1981,tt0082245,Deadly Blessing,1981,United Artists,,2800000,1007194.0
98,1981,tt0082158,Chariots of Fire,1981,Warner Bros.,Drama,2770216,
99,1981,tt0020205,Napoléon,1929,,Drama,2645504,
100,1981,tt0082511,Hell Night,1981,Compass Internati…,Horror,2300000,
1,1982,tt0083866,ET: The Extra-Terrestrial,1982,Universal,Adventure,321838717,109468951.0
2,1982,tt0084602,Rocky III,1982,MGM,Action,125049125,42533715.0
3,1982,tt0082846,On Golden Pond,1981,Universal,Drama,117891412,40099119.0
4,1982,tt0084434,An Officer and a Gentleman,1982,Paramount Pictures,Drama,111907443,38063756.0
5,1982,tt0084522,Porky's,1982,20th Century Fox,Comedy,109492484,37242341.0
6,1982,tt0076759,Star Wars Ep. IV: A New Hope,1978,20th Century Fox,Adventure,86753167,29507879.0
7,1982,tt0084726,Star Trek II: The Wrath of Khan,1982,Paramount Pictures,Adventure,78912963,26841143.0
8,1982,tt0084516,Poltergeist,1982,MGM,Horror,74706019,25410210.0
9,1982,tt0083642,The Best Little Whorehouse in Texas,1982,Universal,Musical,69701637,23708039.0
10,1982,tt0082158,Chariots of Fire,1981,Warner Bros.,Drama,58787946,19995900.0
11,1982,tt0083564,Annie,1982,Sony Pictures,Musical,57059003,19407824.0
12,1982,tt0082971,Raiders of the Lost Ark,1981,Paramount Pictures,Adventure,54135099,18413298.0
13,1982,tt0083943,Firefox,1982,Warner Bros.,Thriller/Suspense,45785720,15573374.0
14,1982,tt0083944,First Blood,1982,Orion Pictures,Action,43187630,14689670.0
15,1982,tt0084805,Tootsie,1982,Sony Pictures,Comedy,40897781,13910809.0
16,1982,tt0082198,Conan the Barbarian,1982,Universal,Action,38264085,13014994.0
17,1982,tt0084749,The Sword and the Sorcerer,1982,Group 1,Adventure,36714025,12487763.0
18,1982,tt0083972,Friday the 13th Part 3,1982,Paramount Pictures,Horror,36690067,12479614.0
19,1982,tt0084597,Richard Pryor Live on the Sunset Strip,1982,Sony Pictures,Concert/Perfor…,34970309,11894662.0
20,1982,tt0084938,Young Doctors in Love,1982,20th Century Fox,Comedy,30688860,10438387.0
21,1982,tt0084809,The Toy,1982,Sony Pictures,Comedy,30502112,10374868.0
22,1982,tt0084917,The World According to Garp,1982,Warner Bros.,Comedy,30207324,10274600.0
23,1982,tt0082979,Reds,1981,Paramount Pictures,Drama,29391083,9996967.0
24,1982,tt0083658,Blade Runner,1982,Warner Bros.,Thriller/Suspense,28459722,9680177.0
25,1982,tt0083929,Fast Times at Ridgemont High,1982,Universal,Comedy,27092880,9215265.0
26,1982,tt0084827,Tron,1982,Walt Disney,Action,26918576,9155978.0
27,1982,tt0083511,48 Hrs.,1982,Paramount Pictures,Action,24640357,8381073.0
28,1982,tt0082694,Mad Max 2: The Road Warrior,1982,Warner Bros.,Action,23667907,8050308.0
29,1982,tt0084865,Victor/Victoria,1982,MGM,Musical,22524614,7661433.0
30,1982,tt0083791,The Dark Crystal,1982,Universal,Adventure,22029071,7492881.0
31,1982,tt0080684,Star Wars Ep. V: The Empire Strikes Back,1981,20th Century Fox,Adventure,21796677,7413835.0
32,1982,tt0084788,Things Are Tough All Over,1982,Sony Pictures,Comedy,21134374,7188562.0
33,1982,tt0084412,Night Shift,1982,Warner Bros.,Comedy,21017056,7148658.0
34,1982,tt0083169,Taps,1981,20th Century Fox,Drama,20991771,7140058.0
35,1982,tt0461830,Quest for Fire,1982,20th Century Fox,Adventure,20959585,7129110.0
36,1982,tt0083530,Airplane II: The Sequel,1982,Paramount Pictures,Comedy,20495481,6971252.0
37,1982,tt0083628,The Beach Girls,1982,Crown,Comedy,20418789,6945166.0
38,1982,tt0083107,Some Kind of Hero,1982,Paramount Pictures,Drama,20400486,6938940.0
39,1982,tt0084690,Six Pack,1982,20th Century Fox,Comedy,20225989,6879588.0
40,1982,tt0083767,Creepshow,1982,Warner Bros.,Horror,20036244,6815048.0
41,1982,tt0083641,Best Friends,1982,Warner Bros.,Romantic Comedy,19711565,6704613.0
42,1982,tt0083806,Deathtrap,1982,Warner Bros.,Black Comedy,19282000,6558503.0
43,1982,tt0083798,Dead Men Don’t Wear Plaid,1982,Universal,Comedy,18196170,6189173.0
44,1982,tt0084370,My Favorite Year,1982,MGM,Comedy,17458105,5938130.0
45,1982,tt0084395,National Lampoon's Class Reunion,1982,20th Century Fox,Black Comedy,16550727,5629498.0
46,1982,tt0084855,The Verdict,1982,20th Century Fox,Drama,16373660,5569272.0
47,1982,tt0082250,Death Wish II,1982,Sony Pictures,Action,16100000,5476190.0
48,1982,tt0084335,Missing,1982,Universal,Drama,16000000,5442176.0
49,1982,tt0084945,Zapped!,1982,Embassy,Comedy,15026217,5110958.0
50,1982,tt0084503,Pink Floyd: The Wall,1982,MGM,Musical,14844106,5049015.0
51,1982,tt0085636,Halloween 3: Season of the of the Witch,1982,Universal,Horror,14400000,4897959.0
52,1982,tt0081974,Absence of Malice,1981,Columbia,Thriller/Suspense,14306837,4866271.0
53,1982,tt0084021,Grease 2,1982,Paramount Pictures,Musical,14297083,4862953.0
54,1982,tt0083064,Sharky's Machine,1981,Warner Bros.,Thriller/Suspense,14046546,4777736.0
55,1982,tt0084787,The Thing,1982,Universal,Horror,13782838,4688040.0
56,1982,tt0083598,Author! Author!,1982,20th Century Fox,Comedy,13111101,4459558.0
57,1982,tt0084133,The Incubus,1982,Artists Releasing…,Horror,13110874,4459480.0
58,1982,tt0083833,Diner,1982,MGM,Comedy,12592907,4283301.0
59,1982,tt0083296,Visiting Hours,1982,20th Century Fox,Horror,12581713,4279494.0
60,1982,tt0084351,Monsignor,1982,20th Century Fox,Drama,12408066,4220430.0
61,1982,tt0084293,Making Love,1982,20th Century Fox,Drama,11897978,4046931.0
62,1982,tt0083550,Amityville II: The Possession,1982,Orion Pictures,Horror,11328000,3853061.0
63,1982,tt0083630,The Beastmaster,1982,MGM,Action,10751126,3656845.0
64,1982,tt0084684,Silent Rage,1982,Sony Pictures,Action,10490791,3568296.0
65,1982,tt0084649,The Secret of Nimh,1982,MGM,Adventure,10140325,3449090.0
66,1982,tt0084049,Hanky Panky,1982,Sony Pictures,Comedy,9823934,3341474.0
67,1982,tt0046183,Peter Pan,1953,,Adventure,9453922,3215619.0
68,1982,tt0082970,Ragtime,1981,Paramount Pictures,Drama,9085657,3090359.0
69,1982,tt0084329,A Midsummer Night's Sex Comedy,1982,Orion Pictures,Comedy,9077269,3087506.0
70,1982,tt0084117,If You Could See What I Hear,1982,Jensen Farley Pic…,Drama,8693512,2956976.0
71,1982,tt0082763,Modern Problems,1981,20th Century Fox,Comedy,8275044,2814640.0
72,1982,tt0084675,Shoot the Moon,1982,MGM,Drama,8100000,2755102.0
73,1982,tt0084504,The Pirate Movie,1982,20th Century Fox,Musical,7983086,2715335.0
74,1982,tt0083449,The Missionary,1982,Sony Pictures,Comedy,7241180,2462986.0
75,1982,tt0084783,Tex,1982,Walt Disney,Drama,7199408,2448778.0
76,1982,tt0082801,Neighbors,1981,Columbia,Black Comedy,7003214,2382045.0
77,1982,tt0083722,Cat People,1982,Universal,Drama,7000000,2380952.0
78,1982,tt0084109,I Ought to be in Pictures,1982,20th Century Fox,Comedy,6968359,2370190.0
79,1982,tt0084210,Kiss Me Goodbye,1982,20th Century Fox,Romantic Comedy,6967535,2369909.0
80,1982,tt0083739,Class of 1984,1982,United Film Distr…,Thriller/Suspense,6965361,2369170.0
81,1982,tt0084296,The Man From Snowy River,1982,20th Century Fox,Western,6542492,2225337.0
82,1982,tt0084237,The Last Unicorn,1982,Jensen Farley Pic…,Adventure,6455330,2195690.0
83,1982,tt0084814,Trail of the Pink Panther,1982,MGM,Comedy,6243250,2123554.0
84,1982,tt0082031,Arthur,1981,Warner Bros.,Romantic Comedy,6152248,2092601.0
85,1982,tt0084704,The Soldier,1982,Embassy,Action,6123549,2082839.0
86,1982,tt0083678,The Border,1982,Universal,Drama,6118683,2081184.0
87,1982,tt0086443,Timerider: The Adventure of Lyle Swann,1982,,,6000000,2040816.0
88,1982,tt0084234,The Last American Virgin,1982,Cannon,Comedy,5829781,1982918.0
89,1982,tt0034492,Bambi,1942,,Adventure,5723384,1946729.0
90,1982,tt0084316,Megaforce,1982,20th Century Fox,Action,5675599,1930475.0
91,1982,tt0083755,The Concrete Jungle,1982,Pentagon Releasin…,Thriller/Suspense,5664557,1926720.0
92,1982,tt0084861,Vice Squad,1982,Avco Embassy,Action,5568880,1894176.0
93,1982,tt0082948,Private Lessons,1981,Jensen Farley Pic…,Comedy,5164851,1756752.0
94,1982,tt0084776,Tempest,1982,Sony Pictures,Comedy,5005245,1702464.0
95,1982,tt0084469,Paradise,1982,Embassy,Drama,5000000,1700680.0
96,1982,tt0084652,The Seduction,1982,Avco Embassy,Thriller/Suspense,4888270,1662676.0
97,1982,tt0084786,They Call Me Bruce,1982,Artists Releasing…,Comedy,4818768,1639036.0
98,1982,tt0084691,Six Weeks,1982,Universal,Drama,4799864,1632606.0
99,1982,tt0083908,Evil Under the Sun,1982,Universal,Thriller/Suspense,4659287,1584791.0
100,1982,tt0082810,Night Crossing,1982,Walt Disney,Drama,4500000,1530612.0
1,1983,tt0086190,Star Wars Ep. VI: Return of the Jedi,1983,20th Century Fox,Adventure,249333284,79153423.0
2,1983,tt0084805,Tootsie,1982,,Comedy,136302219,43270545.0
3,1983,tt0085549,Flashdance,1983,Paramount Pictures,Drama,90463574,28718594.0
4,1983,tt0086465,Trading Places,1983,Paramount Pictures,Comedy,90400000,28698412.0
5,1983,tt0086567,WarGames,1983,MGM,Thriller/Suspense,74433837,23629789.0
6,1983,tt0086034,Octopussy,1983,MGM,Action,67900000,21555555.0
7,1983,tt0085970,Mr. Mom,1983,20th Century Fox,Comedy,64800000,20571428.0
8,1983,tt0086361,Staying Alive,1983,Paramount Pictures,Drama,63841474,20267134.0
9,1983,tt0086200,Risky Business,1983,Warner Bros.,Comedy,63541777,20171992.0
10,1983,tt0085995,National Lampoon's Vacation,1983,Warner Bros.,Comedy,61400000,19492063.0
11,1983,tt0086393,Superman III,1983,Warner Bros.,Adventure,59950623,19031943.0
12,1983,tt0086006,Never Say Never Again,1983,Warner Bros.,Action,53448619,16967815.0
13,1983,tt0083987,Gandhi,1982,Sony Pictures,Drama,51443727,16331341.0
14,1983,tt0083511,48 Hrs.,1982,Paramount Pictures,Action,51295908,16284415.0
15,1983,tt0085750,Jaws 3-D,1983,Universal,Horror,45517055,14449858.0
16,1983,tt0085244,The Big Chill,1983,Sony Pictures,Comedy,43738171,13885133.0
17,1983,tt0086425,Terms of Endearment,1983,Paramount Pictures,Drama,42968996,13640951.0
18,1983,tt0085255,Blue Thunder,1983,Sony Pictures,Action,42313354,13432810.0
19,1983,tt0086383,Sudden Impact,1983,Warner Bros.,Action,41852579,13286533.0
